Shipment-Data,Shipment-ID,FC-State,Date,Cost,MSKU,ASIN,Qty
 ,FBA16QHQW13G,MDT1,05-26-2022, ,ASUS-MON-EYECARE-VP32UQ,B096PNMSQZ,7
 ,FBA16QHQT66L,MEM6,05-26-2022, ,ASUS-MON-EYECARE-VP32UQ,B096PNMSQZ,13
 ,FBA16QR0K0HW,ACY2,05-30-2022, ,ASUS-MON-VP349CGL,B09G94PTZR,8
 ,FBA16L69GGZR,ALB1,02-10-2022, ,ASUS-SCAR-15-R95900HX-32G1T-3080-WH,B096VBDK9K,1
 ,FBA16L69GGZR,ALB1,02-10-2022, ,LG-MON-32UN650-W,B08FQ42MN1,1
 ,FBA16L69GGZR,ALB1,02-10-2022, ,MSI-KYBD-VIGOR-GK50-LP-US,B07ZLF8SHW,25
 ,FBA16MXGP4VD,MCO2,03-24-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,3
 ,FBA16QVNQC9G,JAX3,06-01-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,3
 ,FBA16NHBX4XM,CHA2,04-09-2022, ,SAMSUNG-MON-FT45-LF24T452FQNXGO,B08CLSXJSW,50
 ,FBA16NHBX4XM,CHA2,04-09-2022, ,SAMSUNG-MON-S70A-LS27A700NWNXZA,B08YFLC3JD,30
 ,FBA16HJBBX6Y,MCO2,11-26-2021, ,LENOVO-TPE15-I510210U16G1T-WP-GMACC,B089CRD862,3
 ,FBA16KWXZLGZ,MGE3,02-02-2022, ,LENOVO-YOGA-9i14i71185G716G1TWHSLV2-LNOB,B08VYLX37X,1
 ,FBA16KWXZLGZ,MGE3,02-02-2022, ,MSI-KYBD-VIGOR-GK50-LP-US,B07ZLF8SHW,24
 ,FBA16KWXZLGZ,MGE3,02-02-2022, ,PANASONIC-MWAVE-HOMECHEF-NN-CD87KS-ACC,B085SV35MT,1
 ,FBA16KWXZLGZ,MGE3,02-02-2022, ,SAMSUNG-MON-ODYSSEY-G7-LS28AG700NN-VGOB,B096YPN52D,1
 ,FBA16QR0HX1H,OKC2,05-30-2022, ,ASUS-MON-VP349CGL,B09G94PTZR,6
 ,FBA16R2XW9CG,DEN8,06-06-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL-LNO,B09S3347W1,2
 ,FBA16R2XW9CG,DEN8,06-06-2022, ,NINJA-PROCESSOR-BN601-PRO-PLUS-SLV,B089TP3K77,7
 ,FBA16JPBRQ57,CMH2,12-30-2021, ,ASUS-MON-TUF-VG27AQ,B07WQ4FXY9,2
 ,FBA16JPBRQ57,CMH2,12-30-2021, ,DELL-INS-DESK-I510400-64GB2TBWHHDMI-VGOB,B08GKV839K,1
 ,FBA16JPBRQ57,CMH2,12-30-2021, ,LENOVO-LAP-E15I510210U-16G1T-WP-LNOB,B089CRD862,1
 ,FBA16RDCZVVV,ALB1,06-13-2022, ,ASUS-MON-VP349CGL,B09G94PTZR,17
